id,task,response,prob_ind,correct
17,12,1,1,1
17,15,0,1,0
17,16,0,0,1
17,17,0,0,1
17,8,0,1,0
17,9,1,1,1
18,12,0,0,1
18,6,1,0,0
18,16,1,1,1
18,15,1,1,1
18,2,2,1,0
18,1,1,0,0
19,14,0,0,1
19,18,1,1,1
19,13,0,0,1
19,7,0,1,0
19,15,0,0,1
19,9,1,1,1
20,17,1,1,1
20,13,0,0,1
20,10,1,1,1
20,8,0,1,0
20,7,0,0,1
20,15,0,1,0
21,4,1,1,1
21,8,0,0,1
21,14,0,0,1
21,3,2,1,0
21,15,1,1,1
21,1,2,0,0
22,3,1,1,1
22,9,2,0,0
22,12,0,0,1
22,13,2,1,0
22,14,0,0,1
22,6,0,0,1
23,17,1,1,1
23,11,1,1,1
23,15,2,1,0
23,1,1,1,1
23,3,1,1,1
23,9,2,0,0
24,6,1,1,1
24,1,1,1,1
24,3,0,0,1
24,15,1,1,1
24,14,1,1,1
24,12,0,0,1
25,17,0,0,1
25,4,1,1,1
25,9,2,1,0
25,13,1,1,1
25,12,0,0,1
25,11,1,1,1
26,7,0,0,1
26,14,0,0,1
26,13,0,0,1
26,11,1,1,1
26,10,0,1,0
26,5,2,0,0
27,10,1,1,1
27,14,1,1,1
27,1,0,1,0
27,5,1,1,1
27,6,1,0,0
27,12,1,1,1
28,11,1,1,1
28,10,1,1,1
28,15,0,1,0
28,9,1,1,1
28,4,1,1,1
28,6,1,1,1
29,16,1,1,1
29,9,0,0,1
29,3,0,0,1
29,7,0,0,1
29,18,2,1,0
29,1,2,0,0
30,3,0,0,1
30,11,1,1,1
30,14,1,1,1
30,1,1,1,1
30,8,0,0,1
30,7,2,1,0
31,4,0,0,1
31,17,2,0,0
31,11,1,1,1
31,2,2,0,0
31,18,2,0,0
31,7,0,0,1
32,14,0,0,1
32,10,2,1,0
32,12,0,0,1
32,9,0,0,1
32,6,1,1,1
32,8,0,0,1
33,8,1,1,1
33,17,1,1,1
33,14,1,1,1
33,1,0,1,0
33,5,1,1,1
33,12,1,1,1
34,15,0,1,0
34,2,1,0,0
34,8,1,1,1
34,7,0,0,1
34,9,1,1,1
34,11,0,0,1
35,17,0,0,1
35,16,0,0,1
35,11,0,0,1
35,7,2,0,0
35,8,0,0,1
35,9,1,1,1
36,16,1,1,1
36,1,2,1,0
36,4,0,0,1
36,8,0,0,1
36,12,0,0,1
36,6,2,1,0
37,8,1,1,1
37,5,0,0,1
37,10,0,0,1
37,4,2,1,0
37,7,0,0,1
37,9,1,1,1
38,10,0,0,1
38,8,1,1,1
38,5,0,0,1
38,1,2,1,0
38,2,2,1,0
38,9,1,0,0
39,1,0,0,1
39,13,1,1,1
39,12,0,0,1
39,18,2,1,0
39,9,2,0,0
39,3,1,0,0
40,10,1,1,1
40,17,0,0,1
40,18,0,0,1
40,7,1,0,0
40,1,2,1,0
40,12,0,0,1
41,3,1,0,0
41,1,1,0,0
41,13,1,0,0
41,9,0,0,1
41,18,1,1,1
41,7,1,1,1
42,13,0,1,0
42,5,1,1,1
42,11,1,1,1
42,18,0,0,1
42,15,1,0,0
42,2,0,0,1
43,16,0,0,1
43,3,1,0,0
43,7,1,1,1
43,4,1,1,1
43,12,1,1,1
43,10,1,0,0
44,1,0,0,1
44,2,0,0,1
44,17,1,1,1
44,13,0,0,1
44,5,1,1,1
44,15,1,0,0
45,16,0,0,1
45,14,0,0,1
45,5,1,1,1
45,11,1,1,1
45,9,2,0,0
45,7,0,0,1
46,13,2,0,0
46,15,1,1,1
46,11,1,1,1
46,7,0,0,1
46,14,1,1,1
46,8,0,0,1
47,10,1,0,0
47,11,1,1,1
47,6,1,1,1
47,1,1,1,1
47,7,2,1,0
47,18,1,1,1
48,3,1,1,1
48,10,0,0,1
48,17,1,1,1
48,4,1,1,1
48,5,0,0,1
48,1,0,0,1
49,18,0,0,1
49,17,0,0,1
49,16,1,1,1
49,9,1,1,1
49,15,0,0,1
49,5,0,0,1
50,11,1,1,1
50,8,1,1,1
50,12,1,1,1
50,13,0,0,1
50,15,1,1,1
50,6,1,1,1
51,7,1,1,1
51,14,0,0,1
51,15,1,1,1
51,2,0,0,1
51,9,2,1,0
51,4,0,0,1
52,9,1,1,1
52,8,0,0,1
52,4,0,0,1
52,11,1,1,1
52,18,0,1,0
52,1,0,0,1
53,10,0,0,1
53,3,0,0,1
53,14,0,0,1
53,6,0,0,1
53,11,0,0,1
53,17,1,1,1
54,9,0,0,1
54,16,0,0,1
54,8,1,1,1
54,18,0,0,1
54,10,0,0,1
54,13,2,0,0
55,6,1,1,1
55,5,0,0,1
55,7,0,0,1
55,4,0,0,1
55,11,1,1,1
55,8,0,0,1
56,2,1,1,1
56,14,1,1,1
56,1,0,0,1
56,13,1,0,0
56,15,0,0,1
56,5,1,1,1
57,2,0,1,0
57,1,0,1,0
57,12,0,0,1
57,7,1,0,0
57,11,0,0,1
57,8,1,1,1
58,15,0,0,1
58,10,1,0,0
58,4,0,0,1
58,7,0,0,1
58,9,2,1,0
58,18,1,1,1
59,1,1,1,1
59,16,0,0,1
59,7,2,1,0
59,9,1,1,1
59,15,0,0,1
59,17,0,0,1
60,1,0,1,0
60,8,0,0,1
60,12,2,0,0
60,11,1,1,1
60,7,1,1,1
60,15,2,1,0
61,3,0,1,0
61,2,0,0,1
61,8,2,1,0
61,9,0,0,1
61,12,1,0,0
61,10,0,0,1
62,3,0,0,1
62,4,0,0,1
62,1,0,0,1
62,10,1,1,1
62,7,0,0,1
62,14,0,1,0
63,16,0,0,1
63,2,0,0,1
63,15,0,0,1
63,8,0,1,0
63,1,1,0,0
63,6,0,0,1
64,4,0,1,0
64,16,2,1,0
64,6,1,1,1
64,1,0,0,1
64,7,0,1,0
64,13,1,1,1
65,18,1,1,1
65,14,1,1,1
65,12,1,1,1
65,7,0,0,1
65,13,1,1,1
65,5,0,0,1
66,13,1,1,1
66,1,2,0,0
66,14,2,0,0
66,5,1,0,0
66,7,2,1,0
66,16,1,1,1
67,16,1,1,1
67,8,0,0,1
67,2,0,0,1
67,17,0,0,1
67,12,1,1,1
67,1,0,0,1
68,13,0,0,1
68,14,0,1,0
68,5,0,0,1
68,7,0,1,0
68,3,0,0,1
68,2,1,0,0
69,9,1,1,1
69,3,0,0,1
69,17,0,0,1
69,14,1,1,1
69,16,1,1,1
69,5,0,1,0
70,16,0,0,1
70,3,0,0,1
70,10,1,1,1
70,13,0,0,1
70,11,1,1,1
70,17,0,0,1
71,4,1,0,0
71,14,0,1,0
71,12,2,0,0
71,5,1,1,1
71,10,2,0,0
71,9,1,1,1
72,14,0,0,1
72,5,1,1,1
72,12,0,0,1
72,13,1,1,1
72,18,0,0,1
72,10,0,0,1
73,6,1,1,1
73,5,1,1,1
73,14,2,1,0
73,11,0,0,1
73,17,2,0,0
73,3,1,0,0
74,5,1,1,1
74,7,1,1,1
74,6,1,1,1
74,18,1,1,1
74,11,1,1,1
74,1,1,1,1
75,5,0,0,1
75,15,1,1,1
75,11,0,0,1
75,12,2,0,0
75,4,0,0,1
75,17,2,0,0
76,5,1,1,1
76,6,1,0,0
76,12,1,1,1
76,2,0,1,0
76,9,0,1,0
76,15,1,1,1
77,14,1,1,1
77,12,0,0,1
77,7,2,1,0
77,15,2,0,0
77,5,1,1,1
77,9,0,0,1
78,7,1,1,1
78,17,1,1,1
78,1,1,1,1
78,11,0,0,1
78,9,2,1,0
78,13,0,0,1
79,14,0,0,1
79,15,2,0,0
79,13,2,1,0
79,12,1,1,1
79,16,1,1,1
79,9,2,1,0
80,16,1,1,1
80,7,2,1,0
80,13,0,0,1
80,8,1,1,1
80,12,0,0,1
80,5,1,1,1
81,4,1,1,1
81,9,1,1,1
81,15,0,1,0
81,7,2,1,0
81,17,1,1,1
81,8,1,1,1
82,15,0,0,1
82,1,0,0,1
82,13,1,1,1
82,2,1,1,1
82,10,2,0,0
82,4,1,1,1
83,11,1,1,1
83,1,2,0,0
83,10,2,0,0
83,15,0,0,1
83,2,1,1,1
83,8,2,1,0
84,1,2,1,0
84,3,0,1,0
84,18,2,1,0
84,2,1,0,0
84,16,2,0,0
84,9,0,1,0
85,5,0,0,1
85,4,1,1,1
85,6,0,1,0
85,18,2,1,0
85,15,1,1,1
85,17,0,0,1
86,8,1,1,1
86,7,0,1,0
86,12,1,1,1
86,3,0,1,0
86,11,1,1,1
86,16,2,0,0
87,3,2,1,0
87,14,0,0,1
87,12,1,0,0
87,10,2,0,0
87,17,1,1,1
87,16,1,1,1
88,1,0,1,0
88,2,0,0,1
88,5,2,1,0
88,14,2,1,0
88,11,0,0,1
88,12,1,1,1
89,6,0,0,1
89,18,1,0,0
89,13,0,0,1
89,16,2,1,0
89,4,0,0,1
89,8,1,1,1
90,15,0,0,1
90,9,0,0,1
90,6,1,1,1
90,12,0,0,1
90,2,1,1,1
90,5,0,0,1
91,7,2,1,0
91,14,1,1,1
91,4,0,0,1
91,18,0,0,1
91,1,2,1,0
91,3,0,0,1
92,10,2,0,0
92,2,1,1,1
92,16,0,0,1
92,4,1,1,1
92,15,0,0,1
92,8,0,1,0
93,7,1,0,0
93,6,1,1,1
93,2,0,1,0
93,4,0,0,1
93,13,0,1,0
93,12,0,0,1
94,7,0,1,0
94,6,1,0,0
94,10,0,0,1
94,9,1,1,1
94,18,1,1,1
94,17,0,0,1
95,16,0,0,1
95,5,0,0,1
95,9,1,1,1
95,7,1,1,1
95,8,0,0,1
95,2,1,1,1
96,5,2,1,0
96,6,0,0,1
96,16,0,0,1
96,3,1,0,0
96,15,1,0,0
96,4,1,1,1
97,9,1,0,0
97,6,0,0,1
97,18,1,1,1
97,8,1,1,1
97,17,1,1,1
97,1,0,0,1
98,12,1,1,1
98,14,0,0,1
98,2,1,1,1
98,1,1,1,1
98,10,0,0,1
98,15,2,0,0
99,6,1,0,0
99,16,1,1,1
99,12,1,1,1
99,18,2,1,0
99,3,1,1,1
99,8,0,0,1
100,5,1,1,1
100,12,0,0,1
100,4,2,1,0
100,2,1,1,1
100,9,2,0,0
100,14,1,1,1
101,12,1,1,1
101,9,2,1,0
101,17,0,0,1
101,10,2,1,0
101,6,1,1,1
101,7,1,1,1
102,16,1,1,1
102,11,1,1,1
102,6,1,1,1
102,1,0,0,1
102,17,0,0,1
102,7,1,1,1
103,17,1,0,0
103,18,0,1,0
103,2,0,0,1
103,1,0,1,0
103,16,0,0,1
103,6,2,1,0
104,12,1,1,1
104,14,1,1,1
104,6,2,1,0
104,10,1,1,1
104,16,0,0,1
104,4,1,1,1
105,9,0,0,1
105,1,2,0,0
105,17,0,0,1
105,15,2,1,0
105,12,0,0,1
105,7,2,0,0
106,14,0,0,1
106,7,1,1,1
106,6,1,1,1
106,10,1,1,1
106,1,0,0,1
106,5,0,0,1
107,17,1,1,1
107,7,1,1,1
107,16,0,0,1
107,5,0,0,1
107,10,0,0,1
107,1,0,1,0
108,15,0,1,0
108,6,2,1,0
108,8,0,0,1
108,16,2,1,0
108,9,0,1,0
108,5,2,1,0
109,10,1,1,1
109,6,1,0,0
109,11,0,0,1
109,15,0,0,1
109,2,1,0,0
109,12,1,1,1
110,4,1,1,1
110,14,1,1,1
110,13,0,1,0
110,17,1,1,1
110,11,0,0,1
110,5,1,0,0
111,3,0,0,1
111,17,1,1,1
111,14,1,0,0
111,1,1,1,1
111,6,2,0,0
111,13,0,1,0
112,18,2,1,0
112,9,1,1,1
112,5,0,0,1
112,11,1,1,1
112,17,1,1,1
112,14,0,0,1
113,17,2,1,0
113,1,2,1,0
113,2,0,1,0
113,13,2,1,0
113,6,1,1,1
113,11,1,1,1
114,18,2,1,0
114,7,1,0,0
114,14,1,1,1
114,9,2,1,0
114,5,0,1,0
114,3,0,1,0
115,16,0,0,1
115,17,0,0,1
115,12,1,1,1
115,5,2,1,0
115,2,1,1,1
115,8,0,0,1
116,16,0,0,1
116,18,0,0,1
116,13,0,1,0
116,11,1,1,1
116,4,0,0,1
116,15,0,0,1
117,10,2,0,0
117,17,0,0,1
117,7,1,1,1
117,6,1,1,1
117,2,0,1,0
117,5,1,1,1
118,14,1,1,1
118,13,0,0,1
118,2,2,1,0
118,5,0,0,1
118,15,1,1,1
118,12,0,0,1
119,12,0,0,1
119,11,0,0,1
119,3,0,0,1
119,1,1,1,1
119,4,0,0,1
119,10,2,1,0
