subj_id,model,promptstyle,symb_num,prob_type,prob_ind,correct_answer,response,correct,total
12,human,human,num,c2_set_union,86.0,[3],3,1,1.0
12,human,human,num,two_rule_comb1,52.0,[8 9],89,1,1.0
12,human,human,num,dist3_diag1,43.0,[8],8,1,1.0
12,human,human,num,row_constant,28.0,[6],6,1,1.0
12,human,human,num,c3_set_union_permuted,46.0,[0 4 6 7],0674,1,1.0
12,human,human,num,XOR,25.0,[2 5],77,0,1.0
13,human,human,num,attn,85.0,[0 0 0],0,0,1.0
13,human,human,num,c3_set_union,14.0,[8 9 7 2],8792,1,1.0
13,human,human,num,AND,65.0,[7],7,1,1.0
13,human,human,num,dist3_diag1,90.0,[4],4,1,1.0
13,human,human,num,three_rule_comb6,92.0,[3 7 9],379,1,1.0
13,human,human,num,c1_set_union_permuted,69.0,[6],6,1,1.0
13,human,human,num,col_constant,72.0,[6],6,1,1.0
13,human,human,num,row_constant,57.0,[0],0,1,1.0
13,human,human,num,attn,25.0,[0 0 0],000,1,1.0
13,human,human,num,two_rule_comb0,82.0,[7 7],77,1,1.0
13,human,human,num,XOR_permuted,22.0,[0 3],02,0,1.0
13,human,human,num,c2_set_union,78.0,[2],2,1,1.0
14,human,human,num,attn,93.0,[0 0 0],000,1,1.0
14,human,human,num,XOR_permuted,93.0,[5 8],95,0,1.0
14,human,human,num,three_rule_comb0,43.0,[3 0 3],303,1,1.0
14,human,human,num,dist3_diag1,31.0,[2],2,1,1.0
14,human,human,num,attn,87.0,[0 0 0],000,1,1.0
14,human,human,num,three_rule_comb3,61.0,[8 4 8],848,1,1.0
14,human,human,num,row_constant,37.0,[3],3,1,1.0
14,human,human,num,c2_set_union_permuted,90.0,[8],7,0,1.0
14,human,human,num,c2_set_union,85.0,[2],2,1,1.0
14,human,human,num,two_rule_comb3,89.0,[2 1],22,0,1.0
14,human,human,num,c1_set_union,54.0,[5],5,1,1.0
14,human,human,num,three_rule_comb1,5.0,[2 3 5],235,1,1.0
15,human,human,num,two_rule_comb3,91.0,[5 4],54,1,1.0
15,human,human,num,c2_set_union,67.0,[5],5,1,1.0
15,human,human,num,row_constant,74.0,[5],5,1,1.0
15,human,human,num,attn,80.0,[0 0 0],000,1,1.0
15,human,human,num,c1_set_union,22.0,[6],6,1,1.0
15,human,human,num,c1_set_union_permuted,46.0,[2],2,1,1.0
15,human,human,num,XOR_permuted,76.0,[9 6],79,0,1.0
15,human,human,num,three_rule_comb6,30.0,[8 9 3],809,0,1.0
15,human,human,num,c3_set_union,1.0,[5 7 4 1],5741,1,1.0
15,human,human,num,attn,59.0,[0 0 0],000,1,1.0
15,human,human,num,AND,30.0,[8],8,1,1.0
15,human,human,num,c3_set_union_permuted,11.0,[4 7 2 0],04,0,1.0
16,human,human,num,attn,90.0,[0 0 0],000,1,1.0
16,human,human,num,col_constant,97.0,[5],5,1,1.0
16,human,human,num,two_rule_comb0,84.0,[3 1],3 1,1,1.0
16,human,human,num,XOR,74.0,[1 0],59,0,1.0
16,human,human,num,c2_set_union_permuted,0.0,[5],56,0,1.0
16,human,human,num,three_rule_comb3,20.0,[9 5 4],173,0,1.0
16,human,human,num,c2_set_union,50.0,[1],1,1,1.0
16,human,human,num,two_rule_comb3,35.0,[0 1],01,1,1.0
16,human,human,num,XOR_permuted,6.0,[3 9],69,0,1.0
16,human,human,num,c1_set_union_permuted,67.0,[3],3,1,1.0
16,human,human,num,dist3_diag2,50.0,[5],5,1,1.0
16,human,human,num,attn,6.0,[0 0 0],000,1,1.0
17,human,human,num,attn,38.0,[0 0 0],000,1,1.0
17,human,human,num,XOR_permuted,34.0,[3 5],00,0,1.0
17,human,human,num,three_rule_comb3,84.0,[6 1 3],786,0,1.0
17,human,human,num,dist3_diag1,60.0,[8],8,1,1.0
17,human,human,num,col_constant,60.0,[3],3,1,1.0
17,human,human,num,c3_set_union,75.0,[9 8 5 2],9852,1,1.0
17,human,human,num,attn,67.0,[0 0 0],000,1,1.0
17,human,human,num,dist3_diag2,61.0,[3],3,1,1.0
17,human,human,num,three_rule_comb6,65.0,[1 3 6],136,1,1.0
17,human,human,num,c1_set_union_permuted,42.0,[4],4,1,1.0
17,human,human,num,XOR,18.0,[1 0],40,0,1.0
17,human,human,num,two_rule_comb3,62.0,[9 6],93,0,1.0
18,human,human,num,two_rule_comb1,14.0,[7 4],74,1,1.0
18,human,human,num,three_rule_comb3,77.0,[6 9 3],693,1,1.0
18,human,human,num,col_constant,78.0,[7],7,1,1.0
18,human,human,num,row_constant,10.0,[8],8,1,1.0
18,human,human,num,three_rule_comb0,22.0,[8 1 1],811,1,1.0
18,human,human,num,XOR,66.0,[6 9],69,1,1.0
18,human,human,num,two_rule_comb3,60.0,[8 1],81,1,1.0
18,human,human,num,attn,72.0,[0 0 0],000,1,1.0
18,human,human,num,three_rule_comb6,72.0,[0 4 7],047,1,1.0
18,human,human,num,AND,97.0,[1],1,1,1.0
18,human,human,num,c3_set_union_permuted,62.0,[6 2 9 8],2896,1,1.0
18,human,human,num,attn,16.0,[0 0 0],000,1,1.0
19,human,human,num,c1_set_union_permuted,46.0,[2],2,1,1.0
19,human,human,num,XOR_permuted,76.0,[9 6],90,0,1.0
19,human,human,num,c3_set_union_permuted,67.0,[3 4 0 7],0743,1,1.0
19,human,human,num,three_rule_comb3,87.0,[7 6 6],579,0,1.0
19,human,human,num,c3_set_union,20.0,[6 0 2 3],6023,1,1.0
19,human,human,num,c2_set_union,89.0,[6],6,1,1.0
19,human,human,num,three_rule_comb0,23.0,[2 1 3],213,1,1.0
19,human,human,num,two_rule_comb3,76.0,[7 0],70,1,1.0
19,human,human,num,c2_set_union_permuted,63.0,[7],7,1,1.0
19,human,human,num,attn,44.0,[0 0 0],000,1,1.0
19,human,human,num,XOR,72.0,[2 9],92,1,1.0
19,human,human,num,attn,59.0,[0 0 0],000,1,1.0
20,human,human,num,attn,77.0,[0 0 0],000,1,1.0
20,human,human,num,three_rule_comb0,59.0,[3 2 6],326,1,1.0
20,human,human,num,three_rule_comb6,35.0,[7 2 1],041,0,1.0
20,human,human,num,c3_set_union,54.0,[1 7 5 0],0,0,1.0
20,human,human,num,two_rule_comb0,6.0,[1 9],19,1,1.0
20,human,human,num,AND,74.0,[2],02,0,1.0
20,human,human,num,three_rule_comb1,42.0,[5 6 0],560,1,1.0
20,human,human,num,three_rule_comb3,28.0,[4 0 4],901,0,1.0
20,human,human,num,attn,6.0,[0 0 0],000,1,1.0
20,human,human,num,dist3_diag1,95.0,[0],0,1,1.0
20,human,human,num,c2_set_union,57.0,[3],30,0,1.0
20,human,human,num,c3_set_union_permuted,20.0,[3 8 1 4],1843,1,1.0
21,human,human,num,c1_set_union_permuted,15.0,[2],5,0,1.0
21,human,human,num,dist3_diag2,23.0,[8],8,1,1.0
21,human,human,num,attn,44.0,[0 0 0],000,1,1.0
21,human,human,num,AND,13.0,[5],5,1,1.0
21,human,human,num,two_rule_comb0,61.0,[2 3],23,1,1.0
21,human,human,num,c2_set_union,98.0,[5],5,1,1.0
21,human,human,num,two_rule_comb1,86.0,[1 7],17,1,1.0
21,human,human,num,attn,67.0,[0 0 0],000,1,1.0
21,human,human,num,XOR_permuted,55.0,[5 9],49,0,1.0
21,human,human,num,three_rule_comb3,70.0,[8 6 2],862,1,1.0
21,human,human,num,c2_set_union_permuted,46.0,[9],04,0,1.0
21,human,human,num,three_rule_comb0,63.0,[5 6 3],563,1,1.0
22,human,human,num,AND,4.0,[2],22,0,1.0
22,human,human,num,three_rule_comb1,1.0,[8 9 9],839,0,1.0
22,human,human,num,two_rule_comb1,45.0,[7 3],73,1,1.0
22,human,human,num,dist3_diag2,36.0,[6],6,1,1.0
22,human,human,num,row_constant,43.0,[4],4,1,1.0
22,human,human,num,attn,54.0,[0 0 0],000,1,1.0
22,human,human,num,c2_set_union_permuted,13.0,[5],4,0,1.0
22,human,human,num,attn,9.0,[0 0 0],000,1,1.0
22,human,human,num,col_constant,71.0,[2],2,1,1.0
22,human,human,num,three_rule_comb0,92.0,[5 4 1],541,1,1.0
22,human,human,num,dist3_diag1,17.0,[3],3,1,1.0
22,human,human,num,c1_set_union_permuted,35.0,[2], 0,0,1.0
23,human,human,num,three_rule_comb1,53.0,[6 9 6],696,1,1.0
23,human,human,num,c1_set_union_permuted,62.0,[4],4,1,1.0
23,human,human,num,three_rule_comb0,58.0,[2 1 9],219,1,1.0
23,human,human,num,three_rule_comb6,11.0,[0 5 9],059,1,1.0
23,human,human,num,three_rule_comb3,62.0,[5 4 7],547,1,1.0
23,human,human,num,two_rule_comb3,34.0,[3 4],34,1,1.0
23,human,human,num,dist3_diag1,71.0,[7],7,1,1.0
23,human,human,num,attn,68.0,[0 0 0],000,1,1.0
23,human,human,num,attn,73.0,[0 0 0],000,1,1.0
23,human,human,num,two_rule_comb0,82.0,[7 7],77,1,1.0
23,human,human,num,XOR,67.0,[7 2],102,0,1.0
23,human,human,num,AND,33.0,[2],2,1,1.0
24,human,human,num,XOR,61.0,[3 2],21,0,1.0
24,human,human,num,c3_set_union_permuted,93.0,[7 0 2 6],0276,1,1.0
24,human,human,num,col_constant,39.0,[3],3,1,1.0
24,human,human,num,two_rule_comb0,56.0,[7 1],71,1,1.0
24,human,human,num,XOR_permuted,54.0,[1 0],51,0,1.0
24,human,human,num,attn,12.0,[0 0 0],000,1,1.0
24,human,human,num,attn,84.0,[0 0 0],000,1,1.0
24,human,human,num,dist3_diag1,7.0,[0],0,1,1.0
24,human,human,num,three_rule_comb1,37.0,[5 5 6],556,1,1.0
24,human,human,num,c1_set_union_permuted,75.0,[3],3,1,1.0
24,human,human,num,c1_set_union,40.0,[7],7,1,1.0
24,human,human,num,two_rule_comb1,7.0,[1 1],11,1,1.0
25,human,human,num,dist3_diag2,23.0,[8],8,1,1.0
25,human,human,num,XOR,82.0,[5 9],59,1,1.0
25,human,human,num,attn,33.0,[0 0 0],000,1,1.0
25,human,human,num,attn,55.0,[0 0 0],000,1,1.0
25,human,human,num,c2_set_union,48.0,[5],4,0,1.0
25,human,human,num,dist3_diag1,66.0,[0],0,1,1.0
25,human,human,num,two_rule_comb1,89.0,[6 9],65,0,1.0
25,human,human,num,XOR_permuted,2.0,[1 7],71,1,1.0
25,human,human,num,row_constant,25.0,[4],4,1,1.0
25,human,human,num,two_rule_comb3,59.0,[3 2],23,0,1.0
25,human,human,num,three_rule_comb1,87.0,[1 0 7],136,0,1.0
25,human,human,num,three_rule_comb6,97.0,[8 1 6],617,0,1.0
26,human,human,num,attn,63.0,[0 0 0],000,1,1.0
26,human,human,num,c1_set_union,79.0,[9],9,1,1.0
26,human,human,num,row_constant,91.0,[7],7,1,1.0
26,human,human,num,three_rule_comb6,92.0,[3 7 9],379,1,1.0
26,human,human,num,XOR,94.0,[8 6],69,0,1.0
26,human,human,num,dist3_diag2,56.0,[5],5,1,1.0
26,human,human,num,c2_set_union_permuted,33.0,[4],4,1,1.0
26,human,human,num,attn,34.0,[0 0 0],000,1,1.0
26,human,human,num,c3_set_union_permuted,15.0,[7 0 6 1],6071,1,1.0
26,human,human,num,XOR_permuted,32.0,[0 2],81,0,1.0
26,human,human,num,c2_set_union,51.0,[3],3,1,1.0
26,human,human,num,two_rule_comb3,41.0,[4 4],44,1,1.0
27,human,human,num,c1_set_union_permuted,9.0,[9],9,1,1.0
27,human,human,num,c2_set_union,31.0,[2],2,1,1.0
27,human,human,num,three_rule_comb0,10.0,[1 5 7],157,1,1.0
27,human,human,num,three_rule_comb6,78.0,[6 0 8],608,1,1.0
27,human,human,num,c3_set_union,71.0,[8 6 1 5],0,0,1.0
27,human,human,num,c3_set_union_permuted,0.0,[2 6 5 3],2,0,1.0
27,human,human,num,col_constant,90.0,[3],3,1,1.0
27,human,human,num,attn,33.0,[0 0 0],000,1,1.0
27,human,human,num,three_rule_comb1,77.0,[3 1 8],318,1,1.0
27,human,human,num,three_rule_comb3,55.0,[4 2 3],953,0,1.0
27,human,human,num,dist3_diag2,31.0,[2],2,1,1.0
27,human,human,num,attn,85.0,[0 0 0],000,1,1.0
28,human,human,num,dist3_diag2,51.0,[2],2,1,1.0
28,human,human,num,attn,95.0,[0 0 0],000,1,1.0
28,human,human,num,three_rule_comb1,46.0,[6 5 8],658,1,1.0
28,human,human,num,three_rule_comb0,19.0,[5 6 3],563,1,1.0
28,human,human,num,AND,68.0,[5],55,0,1.0
28,human,human,num,attn,83.0,[0 0 0],000,1,1.0
28,human,human,num,c1_set_union,67.0,[6],6,1,1.0
28,human,human,num,c2_set_union,97.0,[1],1,1,1.0
28,human,human,num,c3_set_union,71.0,[8 6 1 5],8615,1,1.0
28,human,human,num,col_constant,7.0,[5],5,1,1.0
28,human,human,num,c3_set_union_permuted,97.0,[5 6 7 0],0657,1,1.0
28,human,human,num,three_rule_comb6,83.0,[4 9 3],493,1,1.0
29,human,human,num,attn,77.0,[0 0 0],000,1,1.0
29,human,human,num,dist3_diag1,36.0,[0],0,1,1.0
29,human,human,num,three_rule_comb3,32.0,[9 3 0],930,1,1.0
29,human,human,num,three_rule_comb1,24.0,[9 4 3],943,1,1.0
29,human,human,num,row_constant,40.0,[0],0,1,1.0
29,human,human,num,two_rule_comb3,90.0,[3 6],36,1,1.0
29,human,human,num,attn,82.0,[0 0 0],000,1,1.0
29,human,human,num,dist3_diag2,32.0,[3],3,1,1.0
29,human,human,num,XOR_permuted,46.0,[2 0],02,1,1.0
29,human,human,num,c1_set_union_permuted,21.0,[3],1,0,1.0
29,human,human,num,c2_set_union_permuted,75.0,[0],10,0,1.0
29,human,human,num,c1_set_union,64.0,[1],1,1,1.0
30,human,human,num,three_rule_comb6,7.0,[6 2 7],013,0,1.0
30,human,human,num,XOR,61.0,[3 2],26,0,1.0
30,human,human,num,dist3_diag1,77.0,[3],3,1,1.0
30,human,human,num,c3_set_union_permuted,21.0,[7 9 3 0],30,0,1.0
30,human,human,num,col_constant,23.0,[0],0,1,1.0
30,human,human,num,c1_set_union,66.0,[9],27,0,1.0
30,human,human,num,c1_set_union_permuted,31.0,[4],01,0,1.0
30,human,human,num,attn,40.0,[0 0 0],000,1,1.0
30,human,human,num,three_rule_comb3,23.0,[3 3 9],239,0,1.0
30,human,human,num,attn,16.0,[0 0 0],000,1,1.0
30,human,human,num,row_constant,39.0,[9],9,1,1.0
30,human,human,num,two_rule_comb0,56.0,[7 1],71,1,1.0
31,human,human,num,c3_set_union,57.0,[0 5 2 6],0256,1,1.0
31,human,human,num,XOR,50.0,[7 6],78,0,1.0
31,human,human,num,c3_set_union_permuted,25.0,[7 8 4 6],67,0,1.0
31,human,human,num,two_rule_comb3,20.0,[6 4],57,0,1.0
31,human,human,num,three_rule_comb1,43.0,[7 1 3],713,1,1.0
31,human,human,num,attn,64.0,[0 0 0],000,1,1.0
31,human,human,num,three_rule_comb3,15.0,[1 3 9],140,0,1.0
31,human,human,num,dist3_diag1,55.0,[5],5,1,1.0
31,human,human,num,two_rule_comb0,76.0,[1 9],19,1,1.0
31,human,human,num,attn,59.0,[0 0 0],000,1,1.0
31,human,human,num,c2_set_union_permuted,35.0,[4],4,1,1.0
31,human,human,num,XOR_permuted,42.0,[8 9],50,0,1.0
32,human,human,num,XOR_permuted,0.0,[4 0],8 8,0,1.0
32,human,human,num,three_rule_comb1,18.0,[3 3 5],872,0,1.0
32,human,human,num,c1_set_union,77.0,[3],3,1,1.0
32,human,human,num,attn,88.0,[0 0 0],[000],0,1.0
32,human,human,num,attn,10.0,[0 0 0],[000],0,1.0
32,human,human,num,col_constant,56.0,[6],6,1,1.0
32,human,human,num,c3_set_union_permuted,35.0,[1 3 0 7],03 71,1,1.0
32,human,human,num,c1_set_union_permuted,8.0,[3],3,1,1.0
32,human,human,num,AND,14.0,[9],9,1,1.0
32,human,human,num,c2_set_union_permuted,16.0,[3],3 9,0,1.0
32,human,human,num,two_rule_comb3,64.0,[1 1],1 4,0,1.0
32,human,human,num,XOR,36.0,[2 7],2 5,0,1.0
33,human,human,num,c1_set_union,98.0,[9],9,1,1.0
33,human,human,num,XOR_permuted,11.0,[0 7],52,0,1.0
33,human,human,num,two_rule_comb3,41.0,[4 4],35,0,1.0
33,human,human,num,row_constant,99.0,[6],6,1,1.0
33,human,human,num,XOR,64.0,[4 1],49,0,1.0
33,human,human,num,three_rule_comb3,44.0,[8 9 8],772,0,1.0
33,human,human,num,attn,93.0,[0 0 0],000,1,1.0
33,human,human,num,c3_set_union,34.0,[6 5 1 4],64,0,1.0
33,human,human,num,dist3_diag2,70.0,[3],3,1,1.0
33,human,human,num,c3_set_union_permuted,21.0,[7 9 3 0],39,0,1.0
33,human,human,num,attn,44.0,[0 0 0],000,1,1.0
33,human,human,num,three_rule_comb0,3.0,[9 7 2],972,1,1.0
34,human,human,num,c2_set_union,38.0,[2],2,1,1.0
34,human,human,num,attn,68.0,[0 0 0],000,1,1.0
34,human,human,num,c3_set_union_permuted,63.0,[9 4 6 0],4096,1,1.0
34,human,human,num,three_rule_comb3,3.0,[4 8 9],409,0,1.0
34,human,human,num,two_rule_comb1,38.0,[3 2],32,1,1.0
34,human,human,num,c1_set_union,86.0,[2],2,1,1.0
34,human,human,num,dist3_diag2,3.0,[4],4,1,1.0
34,human,human,num,attn,27.0,[0 0 0],000,1,1.0
34,human,human,num,c1_set_union_permuted,71.0,[5],5,1,1.0
34,human,human,num,row_constant,53.0,[7],7,1,1.0
34,human,human,num,two_rule_comb3,96.0,[5 8],85,0,1.0
34,human,human,num,XOR_permuted,29.0,[9 0],98,0,1.0
35,human,human,num,three_rule_comb3,16.0,[1 9 6],196,1,1.0
35,human,human,num,two_rule_comb1,51.0,[3 4],34,1,1.0
35,human,human,num,c2_set_union_permuted,63.0,[7],23,0,1.0
35,human,human,num,attn,57.0,[0 0 0],000,1,1.0
35,human,human,num,AND,51.0,[0],00,0,1.0
35,human,human,num,c3_set_union,56.0,[8 3 2 5],58,0,1.0
35,human,human,num,two_rule_comb3,11.0,[8 6],86,1,1.0
35,human,human,num,three_rule_comb1,95.0,[1 5 5],155,1,1.0
35,human,human,num,attn,17.0,[0 0 0],000,1,1.0
35,human,human,num,c1_set_union,26.0,[5],5,1,1.0
35,human,human,num,col_constant,48.0,[8],8,1,1.0
35,human,human,num,XOR_permuted,34.0,[3 5],51,0,1.0
36,human,human,num,dist3_diag1,51.0,[6],6,1,1.0
36,human,human,num,attn,92.0,[0 0 0],000,1,1.0
36,human,human,num,two_rule_comb1,79.0,[6 8],68,1,1.0
36,human,human,num,two_rule_comb3,50.0,[6 9],69,1,1.0
36,human,human,num,col_constant,89.0,[6],6,1,1.0
36,human,human,num,three_rule_comb1,46.0,[6 5 8],658,1,1.0
36,human,human,num,two_rule_comb0,76.0,[1 9],19,1,1.0
