model,promptstyle,nperms,alph,prob_type,prob_ind,source_1,source_2,target_1,correct_answer,given_answer,correct,total,reason,Broad
human,human,np_20,alph_1,add_letter,5,"['y', 'w', 'm', 'h']","['y', 'w', 'm', 'h', 'i']","['r', 'k', 'd', 't']","['r', 'k', 'd', 't', 's']","['r', 'k', 'd', 't', 'i']",FALSE,1,literal subst,alternate rule formation
human,human,np_10,alph_4,add_letter,9,"['c', 'd', 'e', 'f']","['c', 'd', 'e', 'f', 'a']","['i', 't', 'k', 'z']","['i', 't', 'k', 'z', 'm']","['i', 't', 'k', 'z', 'l']",FALSE,1,applied rule wrong,wrong
human,human,np_10,alph_1,add_letter,8,"['s', 'u', 'd', 'v']","['s', 'u', 'd', 'v', 'w']","['v', 'w', 'm', 'j']","['v', 'w', 'm', 'j', 'z']","['v', 'w', 'm', 'z']",FALSE,1,succ/add,incorrect rule
human,human,np_2,alph_1,add_letter,4,"['a', 'l', 'c', 'd']","['a', 'l', 'c', 'd', 'e']","['l', 'c', 'd', 'e']","['l', 'c', 'd', 'e', 'f']","['l', 'c', 'd', 'f']",FALSE,1,succ/add,incorrect rule
human,human,np_5,alph_5,add_letter,2,"['d', 'e', 'f', 'g']","['d', 'e', 'f', 'g', 'h']","['y', 'w', 'x', 'v']","['y', 'w', 'x', 'v', 'i']","['w', 'x', 'y', 'v', 'i']",FALSE,1,sorted perm,incorrect rule
human,human,np_5,alph_1,add_letter,1,"['o', 'f', 'g', 'h']","['o', 'f', 'g', 'h', 'i']","['m', 'n', 'l', 'p']","['m', 'n', 'l', 'p', 'q']","['q', 'x', 's', 't']",FALSE,1,completely wrong,completely wrong
human,human,np_1,alph_1,fix_alphabet,1,"['z', 'o', 'p', 'q', 'r']","['n', 'o', 'p', 'q', 'r']","['o', 'd', 'e', 'f', 'g']","['c', 'd', 'e', 'f', 'g']","['o', 'd', 'e', 'f', 'g', 'h']",FALSE,1,add/fix,incorrect rule
human,human,np_1,alph_0,fix_alphabet,2,"['o', 'y', 'q', 'r', 's']","['o', 'p', 'q', 'r', 's']","['p', 'q', 'r', 'i', 't']","['p', 'q', 'r', 's', 't']","['y', 'q', 'r', 'i', 't']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_4,fix_alphabet,5,"['b', 'j', 'k', 'l', 'm']","['i', 'j', 'k', 'l', 'm']","['p', 'e', 'r', 's', 't']","['p', 'q', 'r', 's', 't']","['w', 'e', 'r', 's', 't']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_2,fix_alphabet,1,"['u', 'v', 'w', 'x', 'h']","['u', 'v', 'w', 'x', 'y']","['h', 'i', 'y', 'k', 'l']","['h', 'i', 'j', 'k', 'l']","['l', 'k', 'y', 'i', 'y']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_6,fix_alphabet,5,"['d', 's', 'f', 'g', 'h']","['d', 'e', 'f', 'g', 'h']","['s', 't', 'u', 'b', 'w']","['s', 't', 'u', 'v', 'w']","['s', 't', 'u', 'v']",FALSE,1,typo,wrong
human,human,np_1,alph_6,fix_alphabet,4,"['o', 'a', 'q', 'r', 's']","['o', 'p', 'q', 'r', 's']","['v', 'w', 'x', 'y', 'j']","['v', 'w', 'x', 'y', 'z']","['v', 'i', 'x', 'y', 'j']",FALSE,1,applied rule wrong,wrong
human,human,np_1,alph_4,fix_alphabet,2,"['b', 'f', 'g', 'h', 'i']","['e', 'f', 'g', 'h', 'i']","['h', 'i', 'r', 'k', 'l']","['h', 'i', 'j', 'k', 'l']","['e', 'i', 'r', 'k', 'l']",FALSE,1,literal subst,alternate rule formation
human,human,np_1,alph_2,fix_alphabet,2,"['c', 'h', 'i', 'j', 'k']","['g', 'h', 'i', 'j', 'k']","['r', 'g', 'h', 'i', 'j']","['f', 'g', 'h', 'i', 'j']","['f', 'g', 'h', 'i']",FALSE,1,typo,wrong
human,human,np_1,alph_2,fix_alphabet,3,"['l', 'i', 'n', 'o', 'p']","['l', 'm', 'n', 'o', 'p']","['o', 'd', 'e', 'f', 'g']","['c', 'd', 'e', 'f', 'g']","['o', 'h', 'e', 'f', 'g']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_1,fix_alphabet,8,"['i', 'j', 'h', 'l', 'm']","['i', 'j', 'k', 'l', 'm']","['o', 'p', 'q', 'r', 'j']","['o', 'p', 'q', 'r', 's']","['o', 'p', 't', 'r', 'j']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_0,fix_alphabet,7,"['f', 'g', 'h', 'i', 'r']","['f', 'g', 'h', 'i', 'j']","['b', 'v', 'd', 'e', 'f']","['b', 'c', 'd', 'e', 'f']","['b', 'v', 'd', 'e', 'u']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_3,fix_alphabet,3,"['m', 'j', 'o', 'p', 'q']","['m', 'n', 'o', 'p', 'q']","['q', 'j', 's', 't', 'u']","['q', 'r', 's', 't', 'u']","['q', 'n', 's', 't', 'u']",FALSE,1,literal subst,alternate rule formation
human,human,np_1,alph_4,fix_alphabet,9,"['a', 'b', 's', 'd', 'e']","['a', 'b', 'c', 'd', 'e']","['c', 'h', 'i', 'j', 'k']","['g', 'h', 'i', 'j', 'k']","['c', 'h', 'y', 'j', 'k']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_5,fix_alphabet,8,"['p', 'q', 'r', 's', 'd']","['p', 'q', 'r', 's', 't']","['u', 'v', 'w', 'e', 'y']","['u', 'v', 'w', 'x', 'y']","['u', 'v', 'w', 'e', 'o']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_5,fix_alphabet,0,"['k', 'l', 'y', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['c', 'g', 'h', 'i', 'j']","['f', 'g', 'h', 'i', 'j']","['c', 'g', 'y', 'i', 'j']",FALSE,1,literal subst,alternate rule formation
human,human,np_1,alph_1,fix_alphabet,1,"['z', 'o', 'p', 'q', 'r']","['n', 'o', 'p', 'q', 'r']","['o', 'd', 'e', 'f', 'g']","['c', 'd', 'e', 'f', 'g']","['d', 'd', 'e', 'f', 'g']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_5,fix_alphabet,8,"['p', 'q', 'r', 's', 'd']","['p', 'q', 'r', 's', 't']","['u', 'v', 'w', 'e', 'y']","['u', 'v', 'w', 'x', 'y']","['u', 'v', 'w', 'x']",FALSE,1,typo,wrong
human,human,np_1,alph_1,fix_alphabet,0,"['v', 'w', 'x', 'd', 'z']","['v', 'w', 'x', 'y', 'z']","['i', 'j', 'q', 'l', 'm']","['i', 'j', 'k', 'l', 'm']","['i', 'j', 'q', 'l', 'n']",FALSE,1,succ/fix,incorrect rule
human,human,np_10,alph_0,fix_alphabet,3,"['k', 'r', 'm', 'u', 'f']","['k', 'l', 'm', 'u', 'f']","['e', 'o', 'g', 'a', 'i']","['e', 'o', 'g', 'h', 'i']","['e', 'l', 'g', 'a', 'i']",FALSE,1,literal subst,alternate rule formation
human,human,np_10,alph_4,fix_alphabet,5,"['z', 'm', 's', 'o', 'p']","['z', 'm', 'l', 'o', 'p']","['i', 'n', 's', 'j', 'u']","['h', 'n', 's', 'j', 'u']","['i', 't', 'k', 'z', 'm']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_1,fix_alphabet,7,"['f', 'r', 'y', 'i', 'o']","['f', 'g', 'y', 'i', 'o']","['t', 'n', 'x', 'p', 'c']","['t', 'n', 'x', 'p', 'h']","['t', 'j', 'x', 'p', 'c']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_3,fix_alphabet,7,"['h', 'i', 'b', 'd', 'n']","['h', 'i', 'b', 'd', 'k']","['d', 't', 'j', 'n', 'o']","['d', 'k', 'j', 'n', 'o']","['d', 't', 'j', 'n', 'q']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_6,fix_alphabet,2,"['u', 'v', 'w', 'q', 'm']","['u', 'v', 'w', 'l', 'm']","['v', 'w', 'l', 'm', 'x']","['v', 'w', 'l', 'm', 'z']","['v', 'w', 'l', 'f', 'x']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_0,fix_alphabet,3,"['k', 'r', 'm', 'u', 'f']","['k', 'l', 'm', 'u', 'f']","['e', 'o', 'g', 'a', 'i']","['e', 'o', 'g', 'h', 'i']","['n', 'k', 'l', 'm']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_0,fix_alphabet,1,"['k', 'l', 'q', 'u', 'f']","['k', 'l', 'm', 'u', 'f']","['d', 'v', 'b', 'x', 'z']","['w', 'v', 'b', 'x', 'z']","['d', 'v', 'q', 'x', 'z']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_4,fix_alphabet,1,"['z', 'm', 'i', 'o', 'p']","['z', 'm', 'l', 'o', 'p']","['e', 'f', 'a', 'c', 'i']","['e', 'f', 'a', 'q', 'i']","['e', 'f', 'd', 'c', 'i']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_4,fix_alphabet,4,"['l', 'a', 'q', 'i', 't']","['f', 'a', 'q', 'i', 't']","['p', 'h', 'n', 's', 'g']","['p', 'h', 'n', 's', 'j']","['x', 'h', 'n', 's', 'g']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_6,fix_alphabet,2,"['u', 'v', 'w', 'q', 'm']","['u', 'v', 'w', 'l', 'm']","['v', 'w', 'l', 'm', 'x']","['v', 'w', 'l', 'm', 'z']","['u', 'w', 'l', 'm', 'x']",FALSE,1,pred/fix,incorrect rule
human,human,np_2,alph_3,fix_alphabet,5,"['s', 't', 'u', 'v', 'c']","['s', 't', 'u', 'v', 'w']","['a', 'w', 'x', 'q', 'z']","['v', 'w', 'x', 'q', 'z']","['b', 'w', 'x', 'q', 'z']",FALSE,1,wrong,wrong
human,human,np_2,alph_3,fix_alphabet,6,"['t', 'u', 'v', 'n', 'x']","['t', 'u', 'v', 'w', 'x']","['p', 'v', 'w', 'x', 'q']","['u', 'v', 'w', 'x', 'q']","['p', 'v', 'w', 'o', 'q']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_2,alph_3,fix_alphabet,0,"['a', 't', 'u', 'v', 'w']","['s', 't', 'u', 'v', 'w']","['v', 'w', 'x', 'u', 'z']","['v', 'w', 'x', 'q', 'z']","['v', 'w', 'x', 'a', 'z']",FALSE,1,wrong,wrong
human,human,np_2,alph_4,fix_alphabet,0,"['b', 'f', 'l', 'e', 'c']","['b', 'f', 'd', 'e', 'c']","['d', 'e', 'c', 'g', 'p']","['d', 'e', 'c', 'g', 'h']","['d', 'e', 'x', 'g', 'p']",FALSE,1,wrong,wrong
human,human,np_2,alph_5,fix_alphabet,1,"['g', 'h', 'i', 'r', 'k']","['g', 'h', 'i', 'j', 'k']","['t', 'j', 'k', 'f', 'm']","['i', 'j', 'k', 'f', 'm']","['t', 'j', 'k', 'l', 'm']",FALSE,1,wrong,wrong
human,human,np_20,alph_5,fix_alphabet,9,"['v', 'b', 'n', 'x', 'j']","['f', 'b', 'n', 'x', 'j']","['k', 'h', 'l', 'a', 'c']","['k', 'h', 'l', 'w', 'c']","['k', 'h', 'l', 'w']",FALSE,1,wrong,wrong
human,human,np_20,alph_6,fix_alphabet,1,"['u', 'd', 'y', 'q', 'k']","['u', 'd', 'i', 'q', 'k']","['m', 't', 'y', 's', 'b']","['m', 't', 'f', 's', 'b']","['m', 't', 'i', 's', 'b']",FALSE,1,literal substitution,alternate rule formation
human,human,np_20,alph_1,fix_alphabet,8,"['d', 't', 's', 'j', 'm']","['d', 't', 's', 'j', 'e']","['d', 'j', 'e', 'o', 'f']","['s', 'j', 'e', 'o', 'f']","['d', 'j', 'e', 'o', 'm']",FALSE,1,wrong,wrong
human,human,np_20,alph_1,fix_alphabet,7,"['w', 'm', 'l', 'i', 'r']","['w', 'm', 'h', 'i', 'r']","['a', 'r', 'k', 'd', 't']","['i', 'r', 'k', 'd', 't']","['a', 'b', 'g', 'z', 'y']",FALSE,1,completely wrong,completely wrong
human,human,np_20,alph_6,fix_alphabet,2,"['e', 'v', 'w', 'b', 'l']","['e', 'v', 'w', 'z', 'l']","['c', 'm', 't', 'f', 'r']","['c', 'm', 't', 'f', 's']","['c', 'm', 't', 'd', 'r']",FALSE,1,wrong,wrong
human,human,np_5,alph_1,fix_alphabet,7,"['q', 'x', 's', 't', 'e']","['q', 'x', 's', 't', 'u']","['d', 'o', 'f', 'g', 'r']","['d', 'o', 'f', 'g', 'h']","['d', 'o', 'f', 'g', 'i']",FALSE,1,wrong,wrong
human,human,np_5,alph_0,fix_alphabet,3,"['e', 'z', 'g', 'h', 'i']","['e', 'f', 'g', 'h', 'i']","['q', 'p', 'n', 'r', 's']","['q', 'p', 'u', 'r', 's']","['q', 'z', 'n', 'r', 's']",FALSE,1,wrong,wrong
human,human,np_5,alph_6,fix_alphabet,1,"['f', 'r', 'l', 'm', 'a']","['j', 'r', 'l', 'm', 'a']","['a', 'k', 'p', 'g', 'o']","['a', 'k', 'p', 'q', 'o']","['j', 'k', 'p', 'g', 'o']",FALSE,1,literal substitution,alternate rule formation
human,human,np_5,alph_5,fix_alphabet,9,"['r', 'g', 'h', 'k', 'j']","['f', 'g', 'h', 'k', 'j']","['y', 'w', 'x', 'a', 'i']","['y', 'w', 'x', 'v', 'i']","['j', 'w', 'x', 'a', 'i']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_4,fix_alphabet,4,"['k', 'g', 'h', 'i', 'a']","['k', 'g', 'h', 'i', 'j']","['d', 'e', 'k', 'g', 'h']","['d', 'f', 'k', 'g', 'h']","['d', 'f', 'k', 'g']",FALSE,1,wrong,wrong
human,human,np_1,alph_4,pred,3,"['v', 'w', 'x', 'y']","['u', 'w', 'x', 'y']","['g', 'h', 'i', 'j']","['f', 'h', 'i', 'j']","['g', 'h', 'i', 'j', 'k']",FALSE,1,add/pred,incorrect rule
human,human,np_1,alph_6,pred,9,"['g', 'h', 'i', 'j']","['f', 'h', 'i', 'j']","['w', 'x', 'y', 'z']","['v', 'x', 'y', 'z']","['V', 'x', 'y', 'z']",FALSE,1,typo,wrong
human,human,np_1,alph_2,pred,1,"['l', 'm', 'n', 'o']","['k', 'm', 'n', 'o']","['e', 'f', 'g', 'h']","['d', 'f', 'g', 'h']","['i', 'j', 'k', 'l']",FALSE,1,completely wrong,completely wrong
human,human,np_1,alph_6,pred,3,"['c', 'd', 'e', 'f']","['b', 'd', 'e', 'f']","['l', 'm', 'n', 'o']","['k', 'm', 'n', 'o']","['l', 'n', 'm', 'o']",FALSE,1,repeat targ_1,incorrect rule
human,human,np_10,alph_1,pred,5,"['s', 'u', 'd', 'v']","['r', 'u', 'd', 'v']","['u', 'd', 'v', 'w']","['s', 'd', 'v', 'w']","['d', 'd', 'v', 'w']",FALSE,1,wrong,wrong
human,human,np_10,alph_3,pred,0,"['m', 'c', 'p', 'z']","['a', 'c', 'p', 'z']","['o', 'l', 'q', 'r']","['n', 'l', 'q', 'r']","['b', 'd', 'k', 'j']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_4,pred,7,"['s', 'j', 'u', 'v']","['n', 'j', 'u', 'v']","['d', 'e', 'f', 'a']","['c', 'e', 'f', 'a']","['c', 'e', 'f']",FALSE,1,typo,wrong
human,human,np_10,alph_6,pred,0,"['t', 'y', 'r', 'u']","['q', 'y', 'r', 'u']","['w', 'l', 'm', 'z']","['v', 'l', 'm', 'z']","['l', 'm', 'z', 'v']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_5,pred,9,"['b', 'f', 'g', 'r']","['d', 'f', 'g', 'r']","['m', 'p', 'n', 'h']","['w', 'p', 'n', 'h']","['n', 'p', 'n', 'h']",FALSE,1,wrong,wrong
human,human,np_10,alph_3,pred,7,"['p', 'z', 'f', 'g']","['c', 'z', 'f', 'g']","['h', 'i', 'b', 'd']","['g', 'i', 'b', 'd']","['a', 'i', 'b', 'd']",FALSE,1,wrong,wrong
human,human,np_10,alph_6,pred,8,"['b', 's', 'd', 'e']","['a', 's', 'd', 'e']","['r', 'u', 'v', 'w']","['y', 'u', 'v', 'w']","['r', 'w', 'v', 'u']",FALSE,1,repeat targ_1,incorrect rule
human,human,np_2,alph_0,pred,8,"['r', 's', 't', 'b']","['q', 's', 't', 'b']","['o', 'p', 'q', 'r']","['n', 'p', 'q', 'r']","['p', 'p', 'q', 'r']",FALSE,1,wrong,wrong
human,human,np_2,alph_5,pred,4,"['d', 'e', 'l', 'g']","['c', 'e', 'l', 'g']","['k', 'f', 'm', 'n']","['j', 'f', 'm', 'n']","['j', 'g', 'm', 'n']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_2,alph_1,pred,4,"['c', 'd', 'e', 'f']","['l', 'd', 'e', 'f']","['i', 'j', 'k', 'b']","['h', 'j', 'k', 'b']","['i', 'j', 'k', 'm']",FALSE,1,succ+pred,incorrect rule
human,human,np_2,alph_4,pred,1,"['f', 'd', 'e', 'c']","['b', 'd', 'e', 'c']","['l', 'm', 'n', 'o']","['k', 'm', 'n', 'o']","['c', 'm', 'n', 'o']",FALSE,1,wrong,wrong
human,human,np_2,alph_3,pred,4,"['r', 's', 't', 'u']","['y', 's', 't', 'u']","['w', 'x', 'q', 'z']","['v', 'x', 'q', 'z']","['v', 'w', 'q', 'z']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_4,pred,5,"['x', 'o', 'm', 'n']","['g', 'o', 'm', 'n']","['g', 'x', 'o', 'm']","['j', 'x', 'o', 'm']",['n'],FALSE,1,misunderstanding,completely wrong
human,human,np_20,alph_0,pred,8,"['c', 'i', 'x', 'v']","['m', 'i', 'x', 'v']","['g', 'f', 'j', 'd']","['l', 'f', 'j', 'd']","['q', 'f', 'j', 'd']",FALSE,1,wrong,wrong
human,human,np_20,alph_4,pred,5,"['x', 'o', 'm', 'n']","['g', 'o', 'm', 'n']","['g', 'x', 'o', 'm']","['j', 'x', 'o', 'm']","['x', 'o', 'm']",FALSE,1,wrong,wrong
human,human,np_20,alph_0,pred,0,"['a', 'z', 'b', 'p']","['h', 'z', 'b', 'p']","['d', 'k', 'h', 'a']","['j', 'k', 'h', 'a']","['k', 'h', 'a', 'd']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_3,pred,2,"['g', 'e', 'p', 'w']","['o', 'e', 'p', 'w']","['c', 'r', 'l', 'o']","['t', 'r', 'l', 'o']","['r', 'r', 'l', 'o']",FALSE,1,wrong,wrong
human,human,np_5,alph_2,pred,7,"['i', 'j', 'k', 'l']","['o', 'j', 'k', 'l']","['o', 'i', 'j', 'k']","['g', 'i', 'j', 'k']","['i', 'j', 'k', 'a']",FALSE,1,succ/pred,incorrect rule
human,human,np_5,alph_0,pred,8,"['b', 'q', 'p', 'u']","['m', 'q', 'p', 'u']","['s', 't', 'o', 'v']","['r', 't', 'o', 'v']","['s', 't', 'o', 'v']",FALSE,1,repeat targ_1,incorrect rule
human,human,np_5,alph_4,pred,0,"['o', 'e', 'q', 'p']","['n', 'e', 'q', 'p']","['s', 't', 'u', 'v']","['p', 't', 'u', 'v']","['w', 'x', 'y', 'z']",FALSE,1,completely wrong,completely wrong
human,human,np_5,alph_4,pred,5,"['o', 'e', 'q', 'p']","['n', 'e', 'q', 'p']","['v', 'w', 'x', 'y']","['u', 'w', 'x', 'y']","['u', 'w', 'y', 'x']",FALSE,1,wrong,wrong
human,human,np_5,alph_0,pred,7,"['b', 'q', 'p', 'u']","['m', 'q', 'p', 'u']","['q', 'p', 'u', 'r']","['b', 'p', 'u', 'r']","['p', 'p', 'u', 'r']",FALSE,1,wrong,wrong
human,human,np_5,alph_0,pred,7,"['b', 'q', 'p', 'u']","['m', 'q', 'p', 'u']","['q', 'p', 'u', 'r']","['b', 'p', 'u', 'r']","['.', 'q', 'u', 'r', 's']",FALSE,1,wrong,wrong
human,human,np_5,alph_5,pred,6,"['w', 'x', 'v', 'i']","['y', 'x', 'v', 'i']","['s', 't', 'u', 'y']","['r', 't', 'u', 'y']","['s', 'u', 'y', 'w']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_0,pred,3,"['m', 'b', 'q', 'p']","['l', 'b', 'q', 'p']","['s', 't', 'o', 'v']","['r', 't', 'o', 'v']","['w', 'x', 'y', 'z']",FALSE,1,completely wrong,completely wrong
human,human,np_symb,symb_1,pred,5,"[')', '<', '@', '=']","['+', '<', '@', '=']","['+', ')', '<', '@']","['!', ')', '<', '@']","['!', ')', '<', 'A']",FALSE,1,typo,wrong
human,human,np_symb,symb_0,pred,7,"['$', ')', '*', '@']","['>', ')', '*', '@']","['*', '@', '=', '&']","[')', '@', '=', '&']","['*', '@', '=', '&', '>', '&']",FALSE,1,add+pred,incorrect rule
human,human,np_symb,symb_1,pred,8,"['!', '+', ')', '<']","['$', '+', ')', '<']","['$', '!', '+', ')']","['>', '!', '+', ')']","['&', '$', '!', '+', ')']",FALSE,1,add+pred,incorrect rule
human,human,np_symb,symb_0,pred,8,"['&', '<', '+', '!']","['=', '<', '+', '!']","[')', '*', '@', '=']","['$', '*', '@', '=']","[')', '@', '=', ']']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,pred,6,"['!', '+', ')', '<']","['$', '+', ')', '<']","['<', '@', '=', '*']","[')', '@', '=', '*']","['<', '=', '*']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,pred,3,"['$', '!', '+', ')']","['>', '!', '+', ')']","['>', '$', '!', '+']","['&', '$', '!', '+']","['$', '!', '+', ')']",FALSE,1,remove+add,incorrect rule
human,human,np_symb,symb_0,pred,0,"['$', ')', '*', '@']","['>', ')', '*', '@']","[')', '*', '@', '=']","['$', '*', '@', '=']","['$', ')', '*', '@']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,pred,4,"['+', ')', '<', '@']","['!', ')', '<', '@']","['!', '+', ')', '<']","['$', '+', ')', '<']","['$', '!', '+', ')']",FALSE,1,shifted,incorrect rule
human,human,np_symb,symb_1,pred,1,"['$', '!', '+', ')']","['>', '!', '+', ')']","['+', ')', '<', '@']","['!', ')', '<', '@']","['&', '$', '+', '<']",FALSE,1,completely wrong,completely wrong
human,human,np_1,alph_3,remove_redundant,3,"['j', 'k', 'k', 'l', 'm', 'n']","['j', 'k', 'l', 'm', 'n']","['n', 'o', 'o', 'p', 'q', 'r']","['n', 'o', 'p', 'q', 'r']","['n', 'o', 'o', 'p', 'q', 'r', 'p']",FALSE,1,wrong,wrong
human,human,np_1,alph_5,remove_redundant,0,"['g', 'g', 'h', 'i', 'j', 'k']","['g', 'h', 'i', 'j', 'k']","['k', 'l', 'm', 'n', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['l', 'm', 'n', 'n', 'o']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_1,remove_redundant,3,"['a', 'b', 'c', 'c', 'd', 'e']","['a', 'b', 'c', 'd', 'e']","['c', 'd', 'e', 'f', 'g', 'g']","['c', 'd', 'e', 'f', 'g']","['e', 'f', 'g', 'h', 'i']",FALSE,1,wrong,wrong
human,human,np_10,alph_0,remove_redundant,8,"['a', 'q', 'c', 'd', 'e', 'e']","['a', 'q', 'c', 'd', 'e']","['n', 'k', 'k', 'l', 'm', 'u']","['n', 'k', 'l', 'm', 'u']","['n', 'k', 'k', 'l', 'm']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_5,remove_redundant,2,"['w', 'm', 'p', 'p', 'n', 'h']","['w', 'm', 'p', 'n', 'h']","['e', 'a', 'c', 'd', 'b', 'b']","['e', 'a', 'c', 'd', 'b']","['r', 't', 'k', 'c', 'v']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_2,remove_redundant,6,"['t', 't', 'u', 'x', 'a', 'w']","['t', 'u', 'x', 'a', 'w']","['k', 'l', 'm', 'm', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['p', 'q', 'y', 's']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_6,remove_redundant,3,"['k', 'c', 'x', 'n', 'n', 'h']","['k', 'c', 'x', 'n', 'h']","['a', 'a', 'b', 's', 'd', 'e']","['a', 'b', 's', 'd', 'e']","['a', 'b', 's', 'd', 'd', 'e']",FALSE,1,typo,wrong
human,human,np_10,alph_1,remove_redundant,9,"['c', 'c', 'q', 'e', 'f', 'g']","['c', 'q', 'e', 'f', 'g']","['o', 'k', 'l', 't', 'n', 'n']","['o', 'k', 'l', 't', 'n']","['k', 'l', 't', 'n', 'n']",FALSE,1,alternate rule formation,alternate rule formation
