subj_id,model,promptstyle,nperms,alph,prob_type,prob_ind,response_string
14,human,human,np_2,alph_3,2gen_split3,6.0,17
14,human,human,np_2,alph_0,2gen_split2,1.0,19
14,human,human,np_20,alph_4,group,9.0,zz
14,human,human,np_20,alph_0,2gen_split1,8.0,j
14,human,human,np_20,alph_2,attn,2.0,aaaa
14,human,human,np_20,alph_6,larger_int,5.0,l
14,human,human,np_20,alph_1,3gen_split4,1.0,p
14,human,human,np_20,alph_5,3gen_split6,4.0,bb
14,human,human,np_20,alph_3,2gen_split2,9.0,oo
14,human,human,np_20,alph_4,reverse,5.0,w
15,human,human,np_2,alph_4,2gen_split6,2.0,n q r s
15,human,human,np_2,alph_0,2gen_split5,6.0,gjkl
15,human,human,np_2,alph_6,longer_targ,7.0,ghil
15,human,human,np_2,alph_1,group,0.0,alcf
15,human,human,np_2,alph_2,3gen_split3,3.0,wvsx
15,human,human,np_2,alph_5,3gen_split2,1.0,gjkf
15,human,human,np_2,alph_3,larger_int,7.0,vwxz
15,human,human,np_2,alph_4,attn,1.0,aaaa
15,human,human,np_1,alph_5,longer_targ,0.0,ijkl
15,human,human,np_1,alph_6,2gen_split5,8.0,iklm
15,human,human,np_1,alph_1,2gen_split2,6.0,utsvw
15,human,human,np_1,alph_0,letter2num,2.0,cefg
15,human,human,np_1,alph_3,3gen_split1,1.0,tvwx
15,human,human,np_1,alph_4,3gen_split2,7.0,fghk
15,human,human,np_1,alph_2,attn,7.0,aaaa
15,human,human,np_1,alph_5,interleaved,7.0,ruvw
16,human,human,np_2,alph_0,3gen_split1,6.0,aucd
16,human,human,np_2,alph_3,2gen_split2,2.0,pyrstu
16,human,human,np_2,alph_2,2gen_split5,5.0,qowrtu
16,human,human,np_2,alph_4,3gen_split4,3.0,smoqkigef
16,human,human,np_2,alph_6,longer_targ,9.0,abjdmfghr
16,human,human,np_2,alph_1,attn,2.0,mbkjjii
16,human,human,np_2,alph_5,group,3.0,oopqqrs
16,human,human,np_2,alph_0,larger_int,9.0,cegik
16,human,human,np_5,alph_4,2gen_split1,0.0,2222232424252526
16,human,human,np_5,alph_5,2gen_split3,6.0,rrssttuuyywwxxvv
16,human,human,np_5,alph_6,attn,2.0,aaaa
16,human,human,np_5,alph_3,longer_targ,8.0,qrijklxzo
16,human,human,np_5,alph_0,reverse,8.0,edcnc
16,human,human,np_5,alph_2,3gen_split6,5.0,16 15 14 13 12 11 10 9 8
16,human,human,np_5,alph_1,letter2num,4.0,18 19 20 21 23
16,human,human,np_5,alph_4,3gen_split5,0.0,v t p e n l j j k h
17,human,human,np_10,alph_4,letter2num,4.0,tkkzml
17,human,human,np_10,alph_1,reverse,1.0,drshu
17,human,human,np_10,alph_5,3gen_split5,5.0,ttxxssxxllxxqqxxhh
17,human,human,np_10,alph_3,longer_targ,1.0,amcpzfghi
17,human,human,np_10,alph_2,3gen_split2,9.0,15 15 17 17 19 19 21 21 23 23
17,human,human,np_10,alph_6,2gen_split4,1.0,16 15 14 13 12
17,human,human,np_10,alph_0,2gen_split5,3.0,17 19 21 23 25
17,human,human,np_10,alph_4,attn,3.0,a a a a
17,human,human,np_2,alph_5,attn,3.0,a a a a
17,human,human,np_2,alph_4,letter2num,2.0,5 6 7 9
17,human,human,np_2,alph_3,reverse,4.0,edca
17,human,human,np_2,alph_0,interleaved,9.0,axuxcxex
17,human,human,np_2,alph_1,3gen_split2,2.0,9 9 10 10 11 11 12 12 13 13 14 14 15 15 16 16 17 17
17,human,human,np_2,alph_6,2gen_split6,8.0,4 8 10 12
17,human,human,np_2,alph_2,2gen_split4,5.0,uuxxvvxxssxxxxxxyyxx
17,human,human,np_2,alph_5,3gen_split3,4.0,7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15
18,human,human,np_2,alph_6,longer_targ,1.0,jkle
18,human,human,np_2,alph_0,3gen_split2,9.0,nmnlnop
18,human,human,np_2,alph_4,group,2.0,eeccgghh
18,human,human,np_2,alph_1,larger_int,9.0,pruw
18,human,human,np_2,alph_2,2gen_split4,6.0,10 20 18 17
18,human,human,np_2,alph_3,2gen_split5,4.0,11 0 17 0 18 0 19 0 
18,human,human,np_2,alph_5,3gen_split3,0.0,ssxxttxxuuxxvxx
18,human,human,np_2,alph_6,attn,1.0,a a a a
18,human,human,np_5,alph_4,longer_targ,5.0,i j r m n e p
18,human,human,np_5,alph_6,larger_int,1.0,r g i e m 
18,human,human,np_5,alph_1,3gen_split1,5.0,1 0 3 0 5 0 8 0 
18,human,human,np_5,alph_0,3gen_split2,0.0,ss x x tt x x o o x x v v x x w w x x y y x x z z x x
18,human,human,np_5,alph_5,2gen_split5,9.0,r r t t y y x x i i 
18,human,human,np_5,alph_2,2gen_split2,2.0,m m s s u u w w y y 
18,human,human,np_5,alph_3,attn,4.0,a a a a
18,human,human,np_5,alph_4,reverse,0.0,a z y x 
19,human,human,np_1,alph_4,longer_targ,5.0,cdefghijk
19,human,human,np_1,alph_3,3gen_split1,5.0,rqqponmlkj
19,human,human,np_1,alph_2,interleaved,1.0,oxpqrs
19,human,human,np_1,alph_0,group,6.0,rstuvv
19,human,human,np_1,alph_6,3gen_split6,4.0,txrxmxnxwx
19,human,human,np_1,alph_1,2gen_split4,4.0,8020010110128
19,human,human,np_1,alph_5,2gen_split5,9.0,qomi
19,human,human,np_1,alph_4,attn,4.0,aaaa
19,human,human,np_5,alph_5,letter2num,0.0,1011121314
19,human,human,np_5,alph_4,2gen_split3,1.0,eqpsstuvwx
19,human,human,np_5,alph_1,larger_int,0.0,xpevt
19,human,human,np_5,alph_0,attn,6.0,aaaa
19,human,human,np_5,alph_2,3gen_split2,6.0,11111010999988886666
19,human,human,np_5,alph_6,2gen_split5,1.0,tsoqpkaml
19,human,human,np_5,alph_3,3gen_split4,7.0,5040302090
19,human,human,np_5,alph_5,reverse,8.0,kjzlg
20,human,human,np_5,alph_2,3gen_split3,8.0,26
20,human,human,np_5,alph_4,attn,0.0,a a a a
20,human,human,np_5,alph_1,3gen_split5,7.0,23
20,human,human,np_5,alph_0,longer_targ,4.0,bqpurstov
20,human,human,np_5,alph_6,interleaved,5.0,lmyfg
20,human,human,np_5,alph_3,2gen_split3,8.0,102030150504
20,human,human,np_5,alph_5,reverse,2.0,jkhgf
20,human,human,np_5,alph_2,2gen_split1,2.0,hhppmmrrssttuuww
20,human,human,np_20,alph_5,attn,0.0,a a a a
20,human,human,np_20,alph_0,longer_targ,4.0,yqlgfjdkh
20,human,human,np_20,alph_3,letter2num,2.0,21 19 18 20 17
20,human,human,np_20,alph_1,3gen_split1,4.0,pxuxfxexsx
20,human,human,np_20,alph_6,2gen_split4,3.0,qxsxrxcxtx
20,human,human,np_20,alph_2,3gen_split4,9.0,222244668810
20,human,human,np_20,alph_4,larger_int,1.0,eajx
20,human,human,np_20,alph_5,2gen_split2,0.0,eeffbbnnxxjjsszzmm
21,human,human,np_2,alph_4,3gen_split3,3.0,zx
21,human,human,np_2,alph_0,3gen_split6,5.0,10
21,human,human,np_2,alph_5,longer_targ,3.0,n
21,human,human,np_2,alph_3,2gen_split3,8.0,o
21,human,human,np_2,alph_2,attn,5.0,aaaa
21,human,human,np_2,alph_1,reverse,7.0,alcde
21,human,human,np_2,alph_6,2gen_split5,7.0,100
21,human,human,np_2,alph_4,group,7.0,gg
21,human,human,np_1,alph_4,interleaved,4.0,hx
21,human,human,np_1,alph_6,3gen_split2,0.0,161600
21,human,human,np_1,alph_0,attn,0.0,aaaa
21,human,human,np_1,alph_5,2gen_split2,6.0,21
21,human,human,np_1,alph_2,group,5.0,tt
21,human,human,np_1,alph_1,larger_int,3.0,ghijk
21,human,human,np_1,alph_3,2gen_split4,5.0,yxzxaxbx
21,human,human,np_1,alph_4,3gen_split4,9.0,1515
22,human,human,np_1,alph_3,group,7.0,r
22,human,human,np_1,alph_2,3gen_split6,5.0,z
22,human,human,np_1,alph_4,longer_targ,3.0,u
22,human,human,np_1,alph_1,attn,7.0,aaaa
22,human,human,np_1,alph_6,3gen_split4,8.0,vv
22,human,human,np_1,alph_0,larger_int,5.0,a
22,human,human,np_1,alph_5,2gen_split2,7.0,25
22,human,human,np_1,alph_3,2gen_split5,2.0,z
22,human,human,np_10,alph_4,2gen_split6,2.0,ryxwvu
22,human,human,np_10,alph_5,attn,9.0,aaaa
22,human,human,np_10,alph_1,2gen_split3,2.0,zz
22,human,human,np_10,alph_2,interleaved,5.0,iz
22,human,human,np_10,alph_0,3gen_split1,3.0,zz
22,human,human,np_10,alph_6,3gen_split3,3.0,cc
22,human,human,np_10,alph_3,group,7.0,qq
22,human,human,np_10,alph_4,reverse,6.0,zmlo
23,human,human,np_5,alph_1,longer_targ,1.0,oghijkrm
23,human,human,np_5,alph_6,3gen_split2,8.0,1020110130150
23,human,human,np_5,alph_4,larger_int,9.0,cfgj
23,human,human,np_5,alph_3,interleaved,4.0,jxkxlxmxy
23,human,human,np_5,alph_2,2gen_split3,9.0,aannhhppmmrrssuu
23,human,human,np_5,alph_5,attn,0.0,aaaa
23,human,human,np_5,alph_0,3gen_split6,8.0,779911111414
23,human,human,np_5,alph_1,2gen_split1,6.0,xxtxuxvxwxexyxzx
23,human,human,np_20,alph_0,letter2num,4.0,7891011
23,human,human,np_20,alph_4,3gen_split4,1.0,llrryykkffiiqqvvuu
23,human,human,np_20,alph_5,3gen_split5,9.0,bbxxbbxxffxxeexx
23,human,human,np_20,alph_6,group,4.0,ggyyeeww
23,human,human,np_20,alph_2,attn,2.0,aaaa
23,human,human,np_20,alph_3,interleaved,4.0,qxnxyxaxkx
23,human,human,np_20,alph_1,2gen_split4,2.0,220230240260
23,human,human,np_20,alph_0,2gen_split6,2.0,1819202122232426
24,human,human,np_20,alph_6,3gen_split5,6.0,pp
24,human,human,np_20,alph_1,group,0.0,kk
24,human,human,np_20,alph_3,2gen_split3,5.0,v
24,human,human,np_20,alph_2,attn,5.0,aaaa
24,human,human,np_20,alph_4,3gen_split6,5.0,12
24,human,human,np_20,alph_5,2gen_split2,3.0,16
24,human,human,np_20,alph_0,letter2num,0.0,24
24,human,human,np_20,alph_6,larger_int,7.0,l
24,human,human,np_2,alph_2,letter2num,4.0,2121
24,human,human,np_2,alph_4,attn,0.0,aaaa
24,human,human,np_2,alph_5,2gen_split6,0.0,12
24,human,human,np_2,alph_3,longer_targ,3.0,w
24,human,human,np_2,alph_6,3gen_split3,0.0,25
24,human,human,np_2,alph_1,3gen_split5,2.0,6
24,human,human,np_2,alph_0,2gen_split2,4.0,23
24,human,human,np_2,alph_2,larger_int,0.0,p
25,human,human,np_10,alph_6,attn,8.0,aaaa
25,human,human,np_10,alph_2,reverse,1.0,zhvbg
25,human,human,np_10,alph_3,letter2num,7.0,19202123
25,human,human,np_10,alph_0,3gen_split2,3.0,1918171615141311
25,human,human,np_10,alph_1,2gen_split5,1.0,110130140150
25,human,human,np_10,alph_5,group,0.0,wwmmppnn
25,human,human,np_10,alph_4,3gen_split6,1.0,268101225161820
25,human,human,np_10,alph_6,2gen_split1,1.0,hhxxvviigg
25,human,human,np_20,alph_0,2gen_split5,5.0,lgfjdkhza
25,human,human,np_20,alph_5,longer_targ,1.0,bnxjszmpd
25,human,human,np_20,alph_3,attn,3.0,aaaa
25,human,human,np_20,alph_6,interleaved,0.0,yxexvxwz
25,human,human,np_20,alph_1,3gen_split1,1.0,qxxxnxpxvxfxlxuxox
25,human,human,np_20,alph_4,letter2num,4.0,21222325
25,human,human,np_20,alph_2,3gen_split4,2.0,1517192123
25,human,human,np_20,alph_0,2gen_split2,0.0,fxrxtxmxix
26,human,human,np_5,alph_1,attn,4.0,aaaa
26,human,human,np_5,alph_5,2gen_split3,7.0,bdfhjlnpr
26,human,human,np_5,alph_2,letter2num,6.0,2456
26,human,human,np_5,alph_4,interleaved,2.0,vxvxwxxxax
26,human,human,np_5,alph_0,2gen_split6,4.0,11334455
26,human,human,np_5,alph_3,3gen_split4,2.0,bvrxvtxxx
26,human,human,np_5,alph_6,longer_targ,7.0,mnkpbostu
26,human,human,np_5,alph_1,3gen_split3,1.0,iihhggffooddccbbaa
26,human,human,np_20,alph_3,reverse,1.0,lego
26,human,human,np_20,alph_0,larger_int,8.0,yfdh
26,human,human,np_20,alph_6,attn,9.0,aaaa
26,human,human,np_20,alph_1,3gen_split4,9.0,11 13 13 13 13 15 15 17 17 19 19
26,human,human,np_20,alph_4,2gen_split3,0.0,pxcxdxexzxbxhxsx
26,human,human,np_20,alph_5,2gen_split1,9.0,18171614
26,human,human,np_20,alph_2,3gen_split5,2.0,qxyxoxkxtxvxxxzx
26,human,human,np_20,alph_3,letter2num,1.0,4568
27,human,human,np_2,alph_1,interleaved,1.0,mxnxoxpx
27,human,human,np_2,alph_0,larger_int,8.0,prtv
27,human,human,np_2,alph_5,attn,5.0,aaaa
27,human,human,np_2,alph_2,3gen_split6,3.0,y y x x x x x x x x x x v v x x
27,human,human,np_2,alph_3,3gen_split4,9.0,9 11 13 1 17 19 21 23 25 26
27,human,human,np_2,alph_6,letter2num,0.0,10 11 12 14
27,human,human,np_2,alph_4,2gen_split5,5.0,pxcxdxdx
27,human,human,np_2,alph_1,2gen_split6,7.0,jybxmxoxnxpxqxrxsx
27,human,human,np_1,alph_3,2gen_split3,6.0,1 3 5 9
